trade_date,td_year,td_month,td_day,td_weekday,td_week_number,td_year_week,open,high,low,close,volume,adj_close,return,short_ma,long_ma,label
1/2/2014,2014,1,2,Thursday,0,2014-00,12.02,12.02,11.85,11.91,7971600,11.91,0,11.91,11.91,red
1/3/2014,2014,1,3,Friday,0,2014-00,11.94,11.99,11.87,11.93,7278900,11.93,0.001679261,11.92,11.92,red
1/6/2014,2014,1,6,Monday,1,2014-01,12.49,12.55,12.2,12.33,14814100,12.33,0.033528919,12.05666667,12.05666667,green
1/7/2014,2014,1,7,Tuesday,1,2014-01,12.35,12.49,12.35,12.44,8661300,12.44,0.00892133,12.1525,12.1525,green
1/8/2014,2014,1,8,Wednesday,1,2014-01,12.51,12.93,12.44,12.79,14313600,12.79,0.028135048,12.28,12.28,green
1/9/2014,2014,1,9,Thursday,1,2014-01,12.68,12.87,12.64,12.78,9473600,12.78,-0.000781861,12.36333333,12.36333333,green
1/10/2014,2014,1,10,Friday,1,2014-01,12.88,13.27,12.79,13.11,14994800,13.11,0.025821596,12.47,12.47,green
1/13/2014,2014,1,13,Monday,2,2014-02,13.07,13.25,12.88,12.92,9197300,12.92,-0.014492754,12.52625,12.52625,green
1/14/2014,2014,1,14,Tuesday,2,2014-02,12.91,13.2,12.91,13.18,8036200,13.18,0.020123839,12.59888889,12.59888889,green
1/15/2014,2014,1,15,Wednesday,2,2014-02,13.19,13.5,13.17,13.34,14748200,13.34,0.012139605,12.673,12.673,green
1/16/2014,2014,1,16,Thursday,2,2014-02,13.36,13.68,13.31,13.55,20084700,13.55,0.015742129,12.75272727,12.75272727,green
1/17/2014,2014,1,17,Friday,2,2014-02,13.63,13.64,13.45,13.51,11156700,13.51,-0.00295203,12.81583333,12.81583333,green
1/21/2014,2014,1,21,Tuesday,3,2014-03,13.74,14.02,13.63,13.98,20088100,13.98,0.034789045,12.90538462,12.90538462,red
1/22/2014,2014,1,22,Wednesday,3,2014-03,13.98,14.08,13.73,13.87,11150200,13.87,-0.007868383,12.97428571,12.97428571,red
1/23/2014,2014,1,23,Thursday,3,2014-03,13.78,13.88,13.55,13.65,12427100,13.65,-0.015861572,13.09857143,13.01933333,red
1/24/2014,2014,1,24,Friday,3,2014-03,13.55,13.65,13.34,13.34,10551900,13.34,-0.022710623,13.19928571,13.039375,red
1/27/2014,2014,1,27,Monday,4,2014-04,13.35,13.39,13.04,13.21,10145800,13.21,-0.009745127,13.26214286,13.04941176,green
1/28/2014,2014,1,28,Tuesday,4,2014-04,13.26,13.36,13.21,13.28,7322500,13.28,0.005299016,13.32214286,13.06222222,green
1/29/2014,2014,1,29,Wednesday,4,2014-04,13.13,13.38,13.08,13.18,8557700,13.18,-0.00753012,13.35,13.06842105,green
1/30/2014,2014,1,30,Thursday,4,2014-04,13.31,13.62,13.27,13.56,11052800,13.56,0.028831563,13.40571429,13.093,green
1/31/2014,2014,1,31,Friday,4,2014-04,13.42,13.67,13.3,13.53,14001000,13.53,-0.002212389,13.43571429,13.11380952,green
2/3/2014,2014,2,3,Monday,5,2014-05,13.55,13.55,12.96,13.01,18772400,13.01,-0.038433112,13.44214286,13.10909091,red
2/4/2014,2014,2,4,Tuesday,5,2014-05,13.1,13.49,12.6,12.85,29029700,12.85,-0.012298232,13.41857143,13.09782609,red
2/5/2014,2014,2,5,Wednesday,5,2014-05,12.77,12.85,12.47,12.76,22160500,12.76,-0.007003891,13.37714286,13.08375,red
2/6/2014,2014,2,6,Thursday,5,2014-05,12.76,12.96,12.73,12.83,13854800,12.83,0.005485893,13.32571429,13.0736,red
2/7/2014,2014,2,7,Friday,5,2014-05,12.92,13.18,12.88,13.1,15197400,13.1,0.021044427,13.29642857,13.07461538,red
2/10/2014,2014,2,10,Monday,6,2014-06,13.05,13.1,12.88,12.91,11969000,12.91,-0.014503817,13.22,13.06851852,green
2/11/2014,2014,2,11,Tuesday,6,2014-06,12.87,12.92,12.76,12.85,18535600,12.85,-0.00464756,13.14714286,13.06071429,green
2/12/2014,2014,2,12,Wednesday,6,2014-06,12.83,13.04,12.83,12.96,9368100,12.96,0.008560311,13.09785714,13.05724138,green
2/13/2014,2014,2,13,Thursday,6,2014-06,12.92,13.08,12.84,13.03,10309600,13.03,0.005401235,13.07571429,13.05633333,green
2/14/2014,2014,2,14,Friday,6,2014-06,13.08,13.44,13.05,13.3,14839400,13.3,0.020721412,13.08214286,13.06419355,green
2/18/2014,2014,2,18,Tuesday,7,2014-07,13.3,13.52,13.29,13.38,10683000,13.38,0.006015038,13.08928571,13.0740625,red
2/19/2014,2014,2,19,Wednesday,7,2014-07,13.35,13.43,13.04,13.06,11679000,13.06,-0.023916293,13.08071429,13.07363636,red
2/20/2014,2014,2,20,Thursday,7,2014-07,13.06,13.24,13,13.23,7949100,13.23,0.013016845,13.05714286,13.07823529,red
2/21/2014,2014,2,21,Friday,7,2014-07,13.25,13.26,13.13,13.14,6452100,13.14,-0.006802721,13.02928571,13.08,red
2/24/2014,2014,2,24,Monday,8,2014-08,13.14,13.24,13.07,13.08,6551700,13.08,-0.00456621,13.03428571,13.08,red
2/25/2014,2014,2,25,Tuesday,8,2014-08,13.09,13.45,13.05,13.39,15637000,13.39,0.023700306,13.07285714,13.08837838,red
2/26/2014,2014,2,26,Wednesday,8,2014-08,13.41,13.58,13.27,13.34,7316800,13.34,-0.00373413,13.11428571,13.095,red
2/27/2014,2014,2,27,Thursday,8,2014-08,13.34,13.41,13.23,13.3,8489700,13.3,-0.002998501,13.14785714,13.10025641,red
2/28/2014,2014,2,28,Friday,8,2014-08,13.28,13.34,12.98,13.1,10209100,13.1,-0.015037594,13.14785714,13.10025,red
3/3/2014,2014,3,3,Monday,9,2014-09,12.91,13.05,12.81,13,9447000,13,-0.007633588,13.15428571,13.09780488,green
3/4/2014,2014,3,4,Tuesday,9,2014-09,13.12,13.26,13.11,13.23,13015200,13.23,0.017692308,13.18142857,13.10095238,green
3/5/2014,2014,3,5,Wednesday,9,2014-09,13.25,13.48,13.22,13.38,9877400,13.38,0.011337868,13.21142857,13.10744186,green
3/6/2014,2014,3,6,Thursday,9,2014-09,13.45,13.59,13.43,13.55,9379700,13.55,0.012705531,13.24857143,13.1175,green
3/7/2014,2014,3,7,Friday,9,2014-09,13.61,13.74,13.36,13.7,16277700,13.7,0.011070111,13.27714286,13.13044444,green
3/10/2014,2014,3,10,Monday,10,2014-10,13.73,13.84,13.43,13.46,8144900,13.46,-0.017518248,13.28285714,13.1376087,red
3/11/2014,2014,3,11,Tuesday,10,2014-10,13.48,13.48,13.14,13.18,10491100,13.18,-0.020802377,13.29142857,13.13851064,red
3/12/2014,2014,3,12,Wednesday,10,2014-10,13.11,13.16,12.82,12.88,20048800,12.88,-0.02276176,13.26642857,13.133125,red
3/13/2014,2014,3,13,Thursday,10,2014-10,12.93,12.98,12.61,12.74,23579600,12.74,-0.010869565,13.23785714,13.12510204,red
3/14/2014,2014,3,14,Friday,10,2014-10,12.75,13.21,12.68,13.01,19886300,13.01,0.021193093,13.23285714,13.1228,red
3/17/2014,2014,3,17,Monday,11,2014-11,13.06,13.16,12.94,12.98,9973800,12.98,-0.002305919,13.20357143,13.1442,red
3/18/2014,2014,3,18,Tuesday,11,2014-11,13,13.27,12.96,13.21,6499400,13.21,0.017719569,13.19428571,13.1698,red
3/19/2014,2014,3,19,Wednesday,11,2014-11,13.23,13.38,13.04,13.15,8716600,13.15,-0.004542014,13.18357143,13.1862,red
3/20/2014,2014,3,20,Thursday,11,2014-11,13.1,13.18,13.04,13.1,7487000,13.1,-0.003802281,13.18357143,13.1994,red
3/21/2014,2014,3,21,Friday,11,2014-11,13.37,13.39,12.82,12.82,15490800,12.82,-0.021374046,13.17071429,13.2,red
3/24/2014,2014,3,24,Monday,12,2014-12,13.05,13.14,12.69,12.84,11359200,12.84,0.001560062,13.14285714,13.2012,green
3/25/2014,2014,3,25,Tuesday,12,2014-12,12.92,13.42,12.92,13.26,13773800,13.26,0.03271028,13.13428571,13.2042,green
3/26/2014,2014,3,26,Wednesday,12,2014-12,13.31,13.47,13.21,13.23,10501900,13.23,-0.002262443,13.11142857,13.2104,green
3/27/2014,2014,3,27,Thursday,12,2014-12,13.21,13.26,12.94,13.21,11154800,13.21,-0.001511716,13.07642857,13.211,green
3/28/2014,2014,3,28,Friday,12,2014-12,13.2,13.44,13.16,13.2,6161600,13.2,-0.000757002,13.05785714,13.2082,green
3/31/2014,2014,3,31,Monday,13,2014-13,13.3,13.57,13.27,13.52,8554100,13.52,0.024242424,13.08214286,13.2076,green
4/1/2014,2014,4,1,Tuesday,13,2014-13,13.55,13.65,13.49,13.62,6763200,13.62,0.00739645,13.135,13.2098,green
4/2/2014,2014,4,2,Wednesday,13,2014-13,13.65,13.73,13.52,13.69,6616500,13.69,0.005139501,13.20285714,13.204,green
4/3/2014,2014,4,3,Thursday,13,2014-13,13.71,13.8,13.63,13.77,9393500,13.77,0.005843682,13.25714286,13.202,green
4/4/2014,2014,4,4,Friday,13,2014-13,13.79,13.9,13.47,13.5,12360800,13.5,-0.019607843,13.29428571,13.199,green
4/7/2014,2014,4,7,Monday,14,2014-14,13.46,13.55,13.16,13.22,8820500,13.22,-0.020740741,13.295,13.1966,red
4/8/2014,2014,4,8,Tuesday,14,2014-14,13.18,13.2,12.85,12.91,10181500,12.91,-0.023449319,13.27785714,13.1906,red
4/9/2014,2014,4,9,Wednesday,14,2014-14,12.98,13.59,12.88,13.54,15143200,13.54,0.04879938,13.30928571,13.1958,red
4/10/2014,2014,4,10,Thursday,14,2014-14,13.53,13.59,12.88,12.93,11188800,12.93,-0.045051699,13.31714286,13.1908,red
4/11/2014,2014,4,11,Friday,14,2014-14,12.81,12.84,12.48,12.69,25143100,12.69,-0.018561485,13.30642857,13.1734,red
4/14/2014,2014,4,14,Monday,15,2014-15,13,13.32,12.98,13.31,16741300,13.31,0.048857368,13.31,13.169,green
4/15/2014,2014,4,15,Tuesday,15,2014-15,13.22,13.43,12.97,13.35,13631600,13.35,0.003005259,13.31857143,13.1758,green
4/16/2014,2014,4,16,Wednesday,15,2014-15,13.57,13.64,13.37,13.5,9740400,13.5,0.011235955,13.33928571,13.1888,green
4/17/2014,2014,4,17,Thursday,15,2014-15,13.48,13.71,13.43,13.65,8675900,13.65,0.011111111,13.37142857,13.2066,green
4/21/2014,2014,4,21,Monday,16,2014-16,13.62,13.72,13.5,13.72,9735400,13.72,0.005128205,13.38571429,13.2244,red
4/22/2014,2014,4,22,Tuesday,16,2014-16,13.75,13.8,13.63,13.75,8953000,13.75,0.002186589,13.395,13.2374,red
4/23/2014,2014,4,23,Wednesday,16,2014-16,13.8,13.82,13.62,13.69,9002700,13.69,-0.004363636,13.395,13.253,red
4/24/2014,2014,4,24,Thursday,16,2014-16,13.76,13.81,13.56,13.75,8433500,13.75,0.004382761,13.39357143,13.271,red
4/25/2014,2014,4,25,Friday,16,2014-16,13.72,13.72,13.33,13.38,10712200,13.38,-0.026909091,13.385,13.2794,red
4/28/2014,2014,4,28,Monday,17,2014-17,13.49,13.65,13.23,13.58,14544600,13.58,0.014947683,13.41071429,13.2904,red
4/29/2014,2014,4,29,Tuesday,17,2014-17,12.79,13.32,12.64,12.73,35508200,12.73,-0.062592047,13.39785714,13.279,red
4/30/2014,2014,4,30,Wednesday,17,2014-17,12.74,12.74,12.37,12.61,27599000,12.61,-0.009426551,13.33142857,13.2636,red
5/1/2014,2014,5,1,Thursday,17,2014-17,12.64,12.74,12.5,12.6,14400500,12.6,-0.000793021,13.30785714,13.2544,red
5/2/2014,2014,5,2,Friday,17,2014-17,12.61,12.82,12.57,12.81,17337600,12.81,0.016666667,13.31642857,13.246,red
5/5/2014,2014,5,5,Monday,18,2014-18,12.75,13.15,12.72,13.07,14657200,13.07,0.020296643,13.29928571,13.2446,red
5/6/2014,2014,5,6,Tuesday,18,2014-18,13.04,13.08,12.85,12.95,11597500,12.95,-0.009181331,13.27071429,13.242,red
5/7/2014,2014,5,7,Wednesday,18,2014-18,12.98,13.01,12.63,12.77,9748600,12.77,-0.013899614,13.21857143,13.2296,red
5/8/2014,2014,5,8,Thursday,18,2014-18,12.76,12.99,12.7,12.8,7198900,12.8,0.002349256,13.15785714,13.2188,red
5/9/2014,2014,5,9,Friday,18,2014-18,12.73,12.79,12.47,12.73,12957800,12.73,-0.00546875,13.08714286,13.2074,red
5/12/2014,2014,5,12,Monday,19,2014-19,12.8,12.94,12.72,12.93,9417000,12.93,0.015710919,13.02857143,13.204,red
5/13/2014,2014,5,13,Tuesday,19,2014-19,12.94,13.02,12.78,12.8,8806600,12.8,-0.010054138,12.965,13.2,red
5/14/2014,2014,5,14,Wednesday,19,2014-19,12.82,12.9,12.74,12.79,12604200,12.79,-0.00078125,12.89642857,13.1912,red
5/15/2014,2014,5,15,Thursday,19,2014-19,12.78,12.78,12.56,12.69,12954800,12.69,-0.007818608,12.84714286,13.1774,red
5/16/2014,2014,5,16,Friday,19,2014-19,12.67,12.88,12.59,12.8,10994000,12.8,0.008668243,12.79142857,13.1624,red
5/19/2014,2014,5,19,Monday,20,2014-20,12.77,12.85,12.65,12.83,9444700,12.83,0.00234375,12.79857143,13.145,green
5/20/2014,2014,5,20,Tuesday,20,2014-20,12.81,12.82,12.47,12.62,11616700,12.62,-0.016367888,12.79928571,13.1282,green
5/21/2014,2014,5,21,Wednesday,20,2014-20,12.67,12.91,12.62,12.8,6774200,12.8,0.014263074,12.81357143,13.1206,green
5/22/2014,2014,5,22,Thursday,20,2014-20,12.78,12.83,12.63,12.68,14167900,12.68,-0.009375,12.80428571,13.1166,green
5/23/2014,2014,5,23,Friday,20,2014-20,12.71,12.88,12.69,12.83,8081600,12.83,0.011829653,12.78714286,13.1184,green
5/27/2014,2014,5,27,Tuesday,21,2014-21,12.9,13.02,12.83,12.95,8627900,12.95,0.009353079,12.78714286,13.1172,red
5/28/2014,2014,5,28,Wednesday,21,2014-21,13,13.19,12.95,13.15,11588600,13.15,0.015444015,12.81428571,13.1206,red
5/29/2014,2014,5,29,Thursday,21,2014-21,13.15,13.17,12.95,12.99,13999300,12.99,-0.0121673,12.82785714,13.1162,red
5/30/2014,2014,5,30,Friday,21,2014-21,12.99,13.08,12.79,12.83,12815400,12.83,-0.012317167,12.835,13.1098,red
6/2/2014,2014,6,2,Monday,22,2014-22,12.86,12.95,12.73,12.88,6364000,12.88,0.003897116,12.83142857,13.1054,green
6/3/2014,2014,6,3,Tuesday,22,2014-22,12.82,12.99,12.81,12.97,6046000,12.97,0.006987578,12.84357143,13.1084,green
6/4/2014,2014,6,4,Wednesday,22,2014-22,12.9,13.05,12.82,13.05,7743800,13.05,0.00616808,12.86214286,13.1126,green
6/5/2014,2014,6,5,Thursday,22,2014-22,12.96,13.19,12.96,13.18,8770700,13.18,0.009961686,12.89714286,13.111,green
6/6/2014,2014,6,6,Friday,22,2014-22,13.19,13.2,13.06,13.13,6822600,13.13,-0.003793627,12.92071429,13.109,green
6/9/2014,2014,6,9,Monday,23,2014-23,13.04,13.04,12.69,12.76,16697400,12.76,-0.028179741,12.91571429,13.1,red
6/10/2014,2014,6,10,Tuesday,23,2014-23,12.77,12.86,12.47,12.84,24582700,12.84,0.006269592,12.93142857,13.0928,red
6/11/2014,2014,6,11,Wednesday,23,2014-23,12.79,12.91,12.62,12.87,17673200,12.87,0.002336449,12.93642857,13.0798,red
6/12/2014,2014,6,12,Thursday,23,2014-23,12.91,12.97,12.74,12.8,25173900,12.8,-0.005439005,12.945,13.0634,red
6/13/2014,2014,6,13,Friday,23,2014-23,12.79,12.95,12.76,12.8,11668100,12.8,0,12.94285714,13.0456,red
6/16/2014,2014,6,16,Monday,24,2014-24,13.1,13.19,12.92,12.92,14078500,12.92,0.009375,12.94071429,13.0286,red
6/17/2014,2014,6,17,Tuesday,24,2014-24,12.8,12.8,12.28,12.6,37104600,12.6,-0.024767802,12.90142857,13.0106,red
6/18/2014,2014,6,18,Wednesday,24,2014-24,12.59,12.74,12.49,12.64,13569600,12.64,0.003174603,12.87642857,12.999,red
6/19/2014,2014,6,19,Thursday,24,2014-24,12.69,12.72,12.57,12.66,17818400,12.66,0.001582278,12.86428571,12.994,red
6/20/2014,2014,6,20,Friday,24,2014-24,12.69,12.74,12.45,12.71,12072300,12.71,0.003949447,12.85214286,12.9774,red
6/23/2014,2014,6,23,Monday,25,2014-25,12.72,12.75,12.6,12.62,7132600,12.62,-0.007081039,12.82714286,12.9712,red
6/24/2014,2014,6,24,Tuesday,25,2014-25,12.66,12.72,12.57,12.58,7790400,12.58,-0.003169572,12.79357143,12.969,red
6/25/2014,2014,6,25,Wednesday,25,2014-25,12.63,12.75,12.63,12.7,9018400,12.7,0.009538951,12.75928571,12.9568,red
6/26/2014,2014,6,26,Thursday,25,2014-25,12.7,12.72,12.59,12.63,14205200,12.63,-0.005511811,12.72357143,12.9424,red
6/27/2014,2014,6,27,Friday,25,2014-25,12.61,12.77,12.6,12.76,14360300,12.76,0.010292953,12.72357143,12.9276,red
6/30/2014,2014,6,30,Monday,26,2014-26,12.86,12.86,12.71,12.77,5759100,12.77,0.000783699,12.71857143,12.91,green
7/1/2014,2014,7,1,Tuesday,26,2014-26,12.78,13.03,12.77,12.99,8828700,12.99,0.017227878,12.72714286,12.8954,green
7/2/2014,2014,7,2,Wednesday,26,2014-26,12.96,13.14,12.92,13.13,7628200,13.13,0.010777521,12.75071429,12.883,green
7/3/2014,2014,7,3,Thursday,26,2014-26,13.11,13.13,13,13.11,3812300,13.11,-0.001523229,12.77285714,12.8714,green
